ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE
15;Pinterest.com /pnpc83;http://pinterest.com/pnpc83 http://www.pinterest.com/pnpc83 https://pinterest.com/pnpc83 https://www.pinterest.com/pnpc83;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
16;Instagram.com;http://instagram.com http://www.instagram.com https://instagram.com https://www.instagram.com;1;5;0;DISCOVERED;2021-10-21T08:14:18.953Z
17;Forets-Parcnational.fr;http://forets-parcnational.fr http://www.forets-parcnational.fr https://forets-parcnational.fr https://www.forets-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
18;Ofb.gouv.fr;http://ofb.gouv.fr http://www.ofb.gouv.fr https://ofb.gouv.fr https://www.ofb.gouv.fr;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
19;Parcsnationaux.fr;http://parcsnationaux.fr http://www.parcsnationaux.fr https://parcsnationaux.fr https://www.parcsnationaux.fr;1;2;0;DISCOVERED;2021-10-21T08:14:18.953Z
20;Portcrosparcnational.fr;http://portcrosparcnational.fr http://www.portcrosparcnational.fr https://portcrosparcnational.fr https://www.portcrosparcnational.fr;1;3;0;DISCOVERED;2021-10-21T08:14:18.953Z
21;Mercantour.eu;http://mercantour.eu http://www.mercantour.eu https://mercantour.eu https://www.mercantour.eu;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
22;Reunion-Parcnational.fr;http://reunion-parcnational.fr http://www.reunion-parcnational.fr https://reunion-parcnational.fr https://www.reunion-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
23;Parc-Amazonien-Guyane.fr;http://parc-amazonien-guyane.fr http://www.parc-amazonien-guyane.fr https://parc-amazonien-guyane.fr https://www.parc-amazonien-guyane.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
24;Var.gouv.fr;http://var.gouv.fr http://www.var.gouv.fr https://var.gouv.fr https://www.var.gouv.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
25;Vanoise-Parcnational.fr;http://vanoise-parcnational.fr http://www.vanoise-parcnational.fr https://vanoise-parcnational.fr https://www.vanoise-parcnational.fr;1;1;0;DISCOVERED;2021-10-21T08:14:18.953Z
26;Addtoany.com;http://addtoany.com http://www.addtoany.com https://addtoany.com https://www.addtoany.com;1;108;0;DISCOVERED;2021-10-21T08:14:25.788Z
27;Youtube.com;http://www.youtube.com http://youtube.com https://www.youtube.com https://youtube.com;1;1;0;DISCOVERED;2021-10-21T08:14:29.338Z
28;Espritparcnational.com;http://espritparcnational.com http://www.espritparcnational.com https://espritparcnational.com https://www.espritparcnational.com;1;4;0;DISCOVERED;2021-10-21T08:14:29.338Z
29;Ac-Nice.fr;http://ac-nice.fr http://www.ac-nice.fr https://ac-nice.fr https://www.ac-nice.fr;1;1;0;DISCOVERED;2021-10-21T08:14:38.290Z
30;Premar-Mediterranee.gouv.fr;http://premar-mediterranee.gouv.fr http://www.premar-mediterranee.gouv.fr https://premar-mediterranee.gouv.fr https://www.premar-mediterranee.gouv.fr;1;2;0;DISCOVERED;2021-10-21T08:14:42.792Z
31;Hyeres-Tourisme.com;http://hyeres-tourisme.com http://www.hyeres-tourisme.com https://hyeres-tourisme.com https://www.hyeres-tourisme.com;1;5;0;DISCOVERED;2021-10-21T08:14:42.792Z
32;Festival-Galathea.com;http://festival-galathea.com http://www.festival-galathea.com https://festival-galathea.com https://www.festival-galathea.com;1;1;0;DISCOVERED;2021-10-21T08:14:46.937Z
33;Tlv-Tvm.com;http://tlv-tvm.com http://www.tlv-tvm.com https://tlv-tvm.com https://www.tlv-tvm.com;1;1;0;DISCOVERED;2021-10-21T08:15:01.092Z
34;Bateauxverts.com;http://bateauxverts.com http://www.bateauxverts.com https://bateauxverts.com https://www.bateauxverts.com;1;1;0;DISCOVERED;2021-10-21T08:15:01.092Z
